year,firm_group,tic,xlr,emp,revt,inflation_factor,real_labor_per_employee,labor_share_revenue
1960,Bank of America / Merrill Lynch family,BAC,6.8,1.552,,10.883,47.682,
1966,Bank of America / Merrill Lynch family,BAC,10.959,2.126,42.593,9.915,51.112,0.257
1965,Bank of America / Merrill Lynch family,BAC,9.887,1.932,35.854,10.212,52.259,0.276
1962,Bank of America / Merrill Lynch family,BAC,8.82,1.738,,10.642,54.007,
1959,Bank of America / Merrill Lynch family,BAC,3.17,0.645,8.25,11.045,54.283,0.384
1982,Bank of America / Merrill Lynch family,BAC,130.891,7.784,1071.251,3.335,56.083,0.122
1963,Bank of America / Merrill Lynch family,BAC,9.616,1.8,28.603,10.51,56.148,0.336
1961,Bank of America / Merrill Lynch family,BAC,8.26,1.574,,10.767,56.505,
1964,Bank of America / Merrill Lynch family,BAC,9.858,1.79,31.232,10.373,57.127,0.316
1988,BNY Mellon / Dreyfus family,BK,407.561,17.776,2620.379,2.722,62.412,0.156
